location_id,address,applicant,days_hours,food_items,latitude,longitude,schedule,zip_codes
1336681,250 BROADWAY,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7987549364009,-122.401798793854,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,28860
1336684,Assessors Block 4228/Lot080,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7536799789675,-122.390414532294,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,28856
1336732,2920 03RD ST,Quan Catering,,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.7519716288769,-122.387965483801,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,28856
1336752,1575 BURKE AVE,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7441784473757,-122.386715929759,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1336674,Assessors Block 3788/Lot002,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7810746780754,-122.391705661167,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,28856
1336766,220 NEWHALL ST,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7430142496315,-122.384460244935,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1336740,645 BRYANT ST,Quan Catering,,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,37.7782665766946,-122.398835922445,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,28856
1336679,2323 CESAR CHAVEZ ST,Mike's Catering,,Cold Truck: packaged sandwiches: snacks: candy: hot and cold drinks,37.7488013777145,-122.400552458785,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00054&ExportPDF=1&Filename=19MFF-00054_schedule.pdf,58
934585,620 YORK ST,May Catering,Mo-Fr:9AM-10AM,Cold Truck: Sandwiches: fruit: snacks: candy: hot and cold drinks,37.7615718487197,-122.409444718958,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0110&ExportPDF=1&Filename=17MFF-0110_schedule.pdf,28859
1336743,151 EXECUTIVE PARK BLVD,Quan Catering,,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00055&ExportPDF=1&Filename=19MFF-00055_schedule.pdf,
